Juviniles, Adults, Seniles, Total
1247166139632587282463348,310894792719785891852854,623583069816293641231674,2181644002168666815547876
621789585439571783705708,997732911706069825970678,310894792719785891852854,1930417289865427501529240
1995465823412139651941356,497431668351657426964566,997732911706069825970678,3490630403469866904876600
994863336703314853929132,997732911706069825970678,497431668351657426964566,2490027916761042106864376
1995465823412139651941356,596918002021988912357479,997732911706069825970678,3590116737140198390269513
1193836004043977824714958,1396826076388497756358949,596918002021988912357479,3187580082454464493431386
2793652152776995512717898,596918002021988912357479,1396826076388497756358949,4787396231187482181434326
1193836004043977824714958,1955556506943896858902529,596918002021988912357479,3746310513009863595974966
3911113013887793717805058,955068803235182259771966,1955556506943896858902529,6821738324066872836479553
1910137606470364519543932,2737779109721455602463541,955068803235182259771966,5602985519427002381779439
5475558219442911204927082,1528110085176291615635146,2737779109721455602463541,9741447414340658423025769
3056220170352583231270292,3832890753610037843448957,1528110085176291615635146,8417221009138912690354395
7665781507220075686897914,1833732102211549938762175,3832890753610037843448957,13332404363041663469109046
3667464204423099877524350,5366047055054052980828540,1833732102211549938762175,10867243361688702797115065
10732094110108105961657080,2933971363538479902019480,5366047055054052980828540,19032112528700638844505100
5867942727076959804038960,5366047055054052980828540,2933971363538479902019480,14167961145669492686886980
10732094110108105961657080,2933971363538479902019480,5366047055054052980828540,19032112528700638844505100
5867942727076959804038960,8585675288086484769325664,2933971363538479902019480,17387589378701924475384104
17171350576172969538651328,2933971363538479902019480,8585675288086484769325664,28690997227797934209996472
5867942727076959804038960,12019945403321078677055930,2933971363538479902019480,20821859493936518383114370
24039890806642157354111860,4694354181661567843231168,12019945403321078677055930,40754190391624803874398958
9388708363323135686462336,16827923564649510147878302,4694354181661567843231168,30910986109634213677571806
33655847129299020295756604,7510966690658508549169869,16827923564649510147878302,57994737384607038992804775
15021933381317017098339738,23559092990509314207029623,7510966690658508549169869,46091993062484839854539230
47118185981018628414059246,9013160028790210259003843,23559092990509314207029623,79690439000318152880092712
18026320057580420518007686,23559092990509314207029623,9013160028790210259003843,50598573076879944984041152
47118185981018628414059246,12618424040306294362605380,23559092990509314207029623,83295703011834236983694249
25236848080612588725210760,32982730186713039889841472,12618424040306294362605380,70838002307631922977657612
