Juviniles, Adults, Seniles, Total
238613988835077905978681652,7089519191216395237325340487,119306994417538952989340826,7447440174469012096293362965
14179038382432790474650680974,119306994417538952989340826,7089519191216395237325340487,21387864568066724664965362287
238613988835077905978681652,8507423029459674284790408584,119306994417538952989340826,8865344012712291143758431062
17014846058919348569580817168,167029792184554534185077156,8507423029459674284790408584,25689298880563577388556302908
334059584369109068370154312,8507423029459674284790408584,167029792184554534185077156,9008512406013337887345640052
17014846058919348569580817168,200435750621465441022092587,8507423029459674284790408584,25722704839000488295393318339
400871501242930882044185174,13611876847135478855664653734,200435750621465441022092587,14213184098999875178730931495
27223753694270957711329307468,200435750621465441022092587,13611876847135478855664653734,41036066292027902008016053789
400871501242930882044185174,21779002955416766169063445974,200435750621465441022092587,22380310207281162492129723735
43558005910833532338126891948,200435750621465441022092587,21779002955416766169063445974,65537444616871763948212430509
400871501242930882044185174,34846404728666825870501513558,200435750621465441022092587,35447711980531222193567791319
