Juviniles, Adults, Seniles, Total
34,37,17,88
75,34,37,146
68,90,34,192
179,14,90,283
27,36,14,77
72,5,36,113
11,14,5,31
29,11,14,54
22,29,11,61
57,22,29,108
44,11,22,77
23,9,11,43
17,23,9,49
46,17,23,86
35,46,17,98
92,35,46,173
70,110,35,215
220,14,110,345
28,264,14,306
529,6,264,799
11,635,6,651
1269,13,635,1918
27,254,13,294
508,32,254,794
64,102,32,198
203,77,102,382
154,41,77,272
81,31,41,153
62,16,31,109
32,12,16,61
25,6,12,43
13,25,6,44
49,13,25,87
26,49,13,88
99,26,49,174
52,118,26,196
237,62,118,417
125,47,62,235
95,150,47,292
299,19,150,468
38,60,19,117
120,8,60,187
15,144,8,166
288,3,144,434
6,58,3,67
115,7,58,180
15,23,7,45
46,15,23,84
29,46,15,90
92,29,46,167
58,18,29,106
37,12,18,67
23,7,12,42
15,23,7,45
47,15,23,84
29,47,15,91
93,29,47,169
59,112,29,200
223,12,112,347
24,45,12,80
89,5,45,139
9,107,5,121
214,2,107,323
4,43,2,49
86,4,43,132
8,17,4,28
34,8,17,59
15,34,8,57
69,15,34,118
30,14,15,59
27,6,14,47
12,27,6,46
55,12,27,94
24,55,12,91
110,24,55,189
48,22,24,94
44,10,22,75
19,9,10,38
18,19,9,46
39,18,19,75
35,39,18,91
77,35,39,151
70,15,35,121
31,14,15,60
28,37,14,79
74,6,37,117
11,89,6,106
178,2,89,269
4,36,2,42
71,4,36,111
9,14,4,28
28,9,14,52
18,28,9,55
57,18,28,103
36,11,18,65
23,7,11,41
14,23,7,44
46,14,23,83
29,46,14,89
91,29,46,165
58,109,29,196
219,12,109,339
23,262,12,297
524,28,262,814
55,105,28,188
210,66,105,381
133,42,66,241
84,27,42,152
53,101,27,180
201,11,101,313
21,40,11,72
81,4,40,125
8,16,4,29
32,8,16,57
17,32,8,58
64,17,32,114
34,13,17,64
26,7,13,45
14,26,7,46
52,14,26,91
27,52,14,92
103,27,52,182
54,21,27,102
41,11,21,73
22,8,11,41
16,22,8,46
43,16,22,82
33,43,16,93
87,33,43,163
66,17,33,116
35,79,17,131
158,7,79,245
14,32,7,53
63,3,32,98
6,76,3,84
152,1,76,229
2,30,1,34
61,2,30,93
4,61,2,67
122,4,61,187
9,24,4,38
49,9,24,82
18,49,9,75
97,18,49,164
36,19,18,73
39,7,19,65
14,8,7,29
16,14,8,38
28,16,14,58
31,28,16,75
57,31,28,117
62,11,31,105
23,12,11,47
25,23,12,60
46,25,23,93
50,46,25,120
91,10,46,147
20,18,10,48
36,20,18,75
40,36,20,96
73,40,36,149
80,15,40,134
29,16,15,60
32,6,16,54
12,6,6,24
13,12,6,31
23,13,12,48
26,23,13,62
47,26,23,95
51,47,26,123
93,10,47,150
20,112,10,143
224,4,112,340
8,45,4,57
90,10,45,144
